"EV24","FG","Q","SQ","TN","TX","UG","LAI","rd_imputed"
2.89,347.77,16.2,6.17,9.84,24.17,77.58,1.625,0
2.72,364.78,15.7,6.29,12.38,22.13,74.31,1.6,0.4
2.42,224.41,15.22,6.84,9.8,19.29,79.47,1.575,2.6
2.84,206.19,18.29,7.93,7.29,17.72,79.77,1.55,1.2
0.99,348.79,6.29,0.51,6.04,15.96,92.52,1.525,7
2.27,309.01,12.67,3.79,14.97,23.23,86.63,1.5,0
2.54,282.53,14.44,4.88,13.5,23.03,83.28,1.5,0
2.65,153.44,15.35,4.27,11.45,23.1,77.2,1.5,0
3.98,227.24,23.1,11.78,11.14,22.38,73.24,1.5,0
3.82,288.28,22.37,11.83,10.5,22.75,74.38,1.5,0
4.19,286.19,24.01,13.23,10.78,24.93,64.64,1.5,0
4.04,195.36,23.04,12.85,9.11,25.43,67.37,1.5,0
2.59,229.27,14.54,5.22,10.48,26.2,76.87,1.5,2.5
2.97,354.55,16.73,7.44,14.73,24.06,72.67,1.5,0.6
1.65,429.87,9.72,3.32,13.94,19.54,84.55,1.525,6.9
1.62,300.62,9.28,3.65,12.06,23.28,85.94,1.55,0.2
4.03,144.44,21.83,12.87,11.01,28.38,71.05,1.575,0
4.23,192.01,21.73,12.89,15.56,31.73,66.26,1.6,0
4.23,174.79,21.52,12.84,16.63,32.79,67.9,1.625,0
3.71,225.38,19.23,10.78,17.63,29.67,73.84,1.65,0
3.44,299.53,17.89,8.37,16.76,29.63,74.85,1.675,0.6
3.11,315.66,16.72,9.15,14.44,26.95,73.09,1.7,0.4
2.38,215.34,13.92,5.21,10.59,22.65,80.75,1.675,0
3.47,104.58,20.39,12.41,7.88,24.14,72.36,1.65,0
3.45,156.88,19.63,11.75,9.75,26.05,70.84,1.625,0
2.48,196.64,14.42,7.09,11.12,24.16,82.47,1.6,0
2.63,241.54,15.18,5.77,9.82,23.25,78.05,1.575,1
2.5,260.68,14.28,5.99,13.05,23.61,77.96,1.55,0.6
1.73,444.01,9.78,3.45,14.35,22.99,82.03,1.525,4
2.58,198.02,14.84,8.18,12.18,23.31,81.66,1.5,0
2.95,131.39,16.68,10.56,10.87,26.26,80.73,1.475,0
3.43,171.25,19.01,11.9,11.75,26.99,70.18,1.45,0
3.3,248.43,17.99,11.93,12.28,28.33,71.02,1.425,0
2.77,165.35,16.21,8.95,11,23.76,79.95,1.4,0
3.07,154.78,17.63,11.23,8.91,26.32,71.96,1.375,0
1.42,138.5,8.09,1.51,13.59,23.7,84.37,1.35,0
3.18,119.47,17.02,11.37,13.57,29.72,71.76,1.325,0
3.2,195.11,16.46,11.47,15.24,32.59,65.46,1.3,0
3.18,197.48,16.4,11.43,16.63,32.43,62.6,1.2625,0
2.9,297.84,15.23,9.01,15.46,30.32,66.27,1.225,13.7
1.87,273.73,10.79,5.07,14.06,22.08,80.28,1.1875,0
1.4,147.6,8,1.52,11.54,20.28,86.66,1.15,0
1.35,238.71,7.97,2.8,13.06,19.73,83.39,1.1125,0
1.96,167.98,12.2,5.63,9.14,19.87,76.42,1.075,0
1.78,99.56,11.14,4.41,6.66,19.93,78.96,1.0375,0
2.27,149.76,13.9,9.14,8.46,20.96,71.69,1,0
1.91,112.84,12.02,6.7,6.79,21.7,78.47,0.9625,0
2.07,180.77,12.82,8.15,7.5,21.7,80.54,0.925,0
2.43,219.81,14.35,10.13,7.43,24.13,70.5,0.8875,0
2.31,299.34,13.43,9.1,9.8,26.23,70.41,0.85,0.3
1.78,116.07,11.14,6.03,7.3,19.87,81.83,0.8125,0
2.3,164.85,14.31,9.59,4.94,21.74,73.37,0.775,0
1.99,422.54,11.26,6.47,14.08,23.27,63.19,0.7375,0
1.01,499.53,5.9,2.37,13.84,19.57,79.9,0.7,1.8
1.66,285.23,10.19,5,10.96,18.87,78.04,0.6875,0.7
1.24,218.28,7.79,2.94,9.77,18.02,85.18,0.675,4.1
0.88,387.75,5.77,2.16,8.69,15.98,86.89,0.6625,2.2
1.55,236.77,9.6,5.87,11.49,18.54,80.38,0.65,0
