"EV24","FG","Q","SQ","TN","TX","UG","LAI","rd_imputed","VWC5_imputed"
2.38,331.52,13.52,3.22,15.23,23.04,82.29,1.85,0.7,0.1301
1.88,226.56,10.63,1.77,13.96,22.58,86.55,1.825,1,0.1336
2.66,230.28,15.46,5.56,11.93,20.93,81.15,1.8,1.4,0.1372
2.7,232.78,15.8,5.17,11.5,21.68,79.83,1.775,5.8,0.1411
1.01,301.1,5.95,0.02,13.43,18.39,96.22,1.75,10.9,0.145
0.79,467.54,4.51,0.59,15.61,19.59,93.58,1.725,16,0.149
2.27,416.06,13.13,4.09,12.63,20.97,81.11,1.7,2.3,0.153
3.15,285.08,18.42,8.04,11.24,23.09,80.52,1.6875,0.5,0.157
2.79,272.88,16.17,6.62,9.8,23.29,82.89,1.675,0,0.1609
2.73,383.55,15.38,5.81,9.84,23.88,78.18,1.6625,0,0.1647
2.79,391.63,16.14,6.43,12.4,21.84,74.05,1.65,0.6,0.1684
2.46,248.24,15.45,6.8,9.89,19.1,79.73,1.6375,3.1,0.1719
2.91,226.4,18.64,8.37,7.19,17.49,79.19,1.625,0.5,0.1751
0.96,370.79,6.07,0.36,5.89,15.88,92.78,1.6125,8.8,0.1781
2.4,335.7,13.32,4.11,15.08,23.2,86.53,1.6,0,0.1808
2.44,299.93,13.92,4.45,13.56,22.83,83.41,1.6125,0,0.183
2.62,160,15.21,4.09,11.42,22.8,75.99,1.625,0,0.1848
4.08,227.37,23.5,12.14,10.75,22.21,73.47,1.6375,0,0.1861
3.76,292.67,22.03,11.57,10.63,22.48,74.6,1.65,0,0.1869
4.2,301.19,24.08,13.22,10.88,24.59,65.02,1.6625,0,0.1873
4.09,214.58,23.36,12.74,9.35,25.14,67.77,1.675,0,0.1872
2.57,240.35,14.43,5.21,10.62,26,77.23,1.6875,1.6,0.1869
2.99,376.39,16.89,7.4,14.77,23.97,72.99,1.7,0,0.1864
1.68,454.38,9.92,3.59,13.96,19.66,84.55,1.6375,7.7,0.1857
1.61,323.32,9.23,3.67,12.12,23.19,86.13,1.575,0.2,0.1851
4.03,152.16,21.83,12.84,11.52,28.13,70.79,1.5125,0,0.1847
4.23,203.38,21.73,12.89,15.77,31.54,66.75,1.45,0,0.1845
4.21,182.1,21.48,12.82,16.71,32.56,68.68,1.3875,0,0.1846
3.7,232.26,19.21,10.73,17.43,29.16,74.63,1.325,0,0.1851
3.39,317.85,17.67,7.89,16.57,29.01,75.19,1.2625,0,0.1861
3.03,336.46,16.29,8.77,14.32,26.58,73.65,1.2,0,0.1875
2.49,229.2,14.55,5.6,10.26,22.41,80.52,1.1875,0,0.1894
3.46,106.85,20.27,12.48,7.74,24.11,72.93,1.175,0,0.1917
3.44,165.94,19.6,11.7,9.98,25.94,71.4,1.1625,0,0.1944
2.53,203.28,14.64,7.22,10.95,24.1,82.48,1.15,0,0.1974
2.57,270.52,14.89,5.51,9.79,22.99,78.76,1.1375,1.9,0.2006
2.49,280.91,14.24,5.92,13.12,23.43,78.43,1.125,0.6,0.204
1.75,476.55,9.93,3.61,14.31,23.06,82.16,1.1125,2.4,0.2075
2.6,207.08,14.96,8.42,12.19,23.31,81.67,1.1,0,0.2108
2.8,143.62,15.84,9.79,11.17,25.94,81.2,1.1125,0,0.2139
3.41,171.83,18.9,11.84,12.01,26.9,71.05,1.125,0,0.2167
3.28,258.19,17.93,11.99,12.45,28.25,71.85,1.1375,0,0.219
2.79,182.73,16.39,9.39,11.2,23.68,80.38,1.15,0,0.2208
3.06,176.89,17.47,11.07,9.29,26.22,70.94,1.1625,0,0.222
1.37,155.46,7.85,1.43,14.1,23.27,85.06,1.175,0,0.2225
3.16,130.51,16.98,11.35,13.81,29.62,72.4,1.1875,0,0.2223
3.19,205.62,16.45,11.49,15.74,32.52,66.04,1.2,0,0.2215
3.17,210.67,16.36,11.42,16.78,32.41,63.43,1.175,0,0.2201
2.91,312.68,15.25,9.08,15.55,30.25,65.68,1.15,13.5,0.2183
1.81,288.79,10.45,4.85,14.27,21.99,80.92,1.125,0,0.2161
1.34,156.7,7.62,1.23,11.83,20.01,86.95,1.1,0,0.2136
1.49,250.6,8.75,3.29,13.15,20.07,82.74,1.075,0,0.2109
1.91,164.17,11.85,5.35,9.08,19.88,77.11,1.05,0,0.2081
1.81,104.39,11.33,4.75,6.59,19.99,78.64,1.025,0,0.2052
2.24,162.87,13.74,8.92,8.48,20.93,71.64,1,0,0.2024
1.87,122.89,11.78,6.55,7.17,21.62,78.73,1.0125,0,0.1997
2.09,197.82,12.95,8.31,7.36,21.5,80.39,1.025,0,0.1969
2.42,238.39,14.3,10.09,7.38,24,70.59,1.0375,0,0.1943
2.27,315.65,13.19,8.89,9.68,25.98,70.78,1.05,1,0.1916
1.73,119.95,10.84,5.74,7.46,19.78,82.5,1.0625,0,0.1889
2.3,184.83,14.31,9.91,5.25,21.6,72.46,1.075,0,0.1365
2.02,452.94,11.43,6.7,14.41,23.15,63.88,1.0875,0,0.1358
0.88,530.85,5.16,1.82,13.72,19.02,80.62,1.1,1.7,0.135
1.68,308.24,10.29,5.19,11.24,18.82,78.14,1.075,0.6,0.1335
1.27,234.51,7.95,3.12,9.8,17.94,85.26,1.05,3.4,0.1326
0.9,409.62,5.84,2.36,8.67,15.95,87.33,1.025,3.7,0.1311
1.61,249.97,9.95,6.46,11.28,18.58,80.17,1,0,0.1353
1.33,369.36,8.53,5.1,8.81,17.44,78.46,0.975,0,0.1411
1.99,429.19,13.53,10.07,4.9,14.45,70.46,0.95,0,0.1431
1.03,350.77,7.12,2.45,3.35,13.08,77.69,0.925,0,0.1429
0.77,281.24,5.18,2.45,9.87,14.67,82.89,0.9,0,0.1435
1.3,236.14,8.85,4.24,4.89,14.72,76.63,0.8625,0,0.1436
1.44,122.57,10.28,7.88,2.7,14.09,82.06,0.825,0,0.1426
1.35,149.28,9.97,6.88,1.77,13.42,78.81,0.7875,0,0.1418
0.88,153.99,6.47,2.02,0.24,12.5,87.95,0.75,1.8,0.1407
0.52,370.9,3.54,0.31,7.01,10.08,83.17,0.7125,0,0.1404
1.07,475.99,7.37,4.71,6.76,12.12,76.57,0.675,0,0.1397
1.14,379.66,8.02,5.9,7.44,13.45,77.76,0.6375,7.1,0.1392
0.57,268.12,3.88,2.35,8.84,14.76,89.94,0.6,0,0.1535
1.64,260.86,10.42,9.07,6.37,19.53,78.86,0.625,0.2,0.1683
0.9,194.37,5.85,3.7,6.85,16.43,90.05,0.65,0,0.1726
0.6,354.19,4.19,2.62,7.11,13.58,91.58,0.675,14.1,0.1833
0.61,354.22,4.5,2.74,3.88,11.58,89.62,0.7,1.8,0.2515
0.31,227.59,2.1,0.22,6.09,11.4,93.15,0.725,2.7,0.2461
0.69,196.71,5.1,2.54,5.37,10.71,87.45,0.75,2,0.2435
0.63,140.85,4.77,2.22,-0.5,9.9,89.96,0.775,0,0.2429
0.63,139.26,5.68,2.57,-1.48,7.6,95.27,0.8,0,0.2346
0.27,217.46,1.97,0.08,4.95,8.9,93.6,0.8125,1,0.2274
0.25,104.82,1.69,0.07,8.29,9.85,92.99,0.825,0,0.2218
0.89,145.76,6.19,4.49,6.3,12.75,88.8,0.8375,0,0.2173
0.4,336.64,2.76,0.45,7.92,13.36,92.71,0.85,0,0.2131
0.21,323.36,1.47,0.01,10.2,13.85,92.04,0.8625,0.8,0.2099
1,97.67,6.88,6.87,5.05,15.07,89.45,0.875,0,0.2074
0.91,70.18,6.54,6.54,4.35,15.26,90.4,0.8875,0,0.2038
1.05,102.68,7.46,8.11,3.78,15.81,89.77,0.9,0,0.2003
