"EV24","FG","Q","SQ","TN","TX","UG","LAI","VWC5_imputed","rd_imputed"
0.31,209.64,2.35,1.47,4.31,12.31,91.92,2.775,0.3483,0
0.43,492.11,2.77,2.75,3.78,9.16,82.03,3.1,0.3466,0
0.6,392.94,5.18,7.41,-0.63,8.06,76.4,3.2,0.3449,0
0.37,128.52,3.69,3.13,-2.97,3.6,93.02,3.3,0.3433,0
0.36,175.84,2.85,2.22,-0.25,9.15,89.17,3.4,0.342,0
0.58,268.8,4.85,7.11,-3.78,3.96,82.29,3.5,0.3408,0
0.59,110.16,5.56,7.1,-7.13,3.24,86.6,3.6,0.3398,0
0.42,304.89,4.04,5.08,-7.67,5.05,83.3,3.7,0.339,0
0.18,353.41,1.33,0.18,3.45,8.27,90.27,3.8,0.3384,0.3
0.22,186.75,1.75,0.91,-1.49,9.18,92.15,3.9,0.338,0.8
0.39,70.77,3.62,4.53,-4.63,6.22,93.78,3.45,0.3378,0
0.47,216.38,4.73,6.74,-4.88,3.29,83.66,3,0.3378,0
0.41,117.9,4.29,6.84,-5.56,4.49,82.51,2.55,0.338,0
0.46,128.24,4.26,6.8,-5.86,5.76,89.77,2.1,0.3383,0
0.22,321.73,1.68,0.89,0.63,8.91,78.37,1.65,0.3387,0
0.36,420.05,2.66,2.56,5.22,9.45,72.28,1.2,0.3392,0.3
0.21,365.6,1.5,1.34,6.65,11.69,87.96,0.75,0.3398,0.1
0.13,374.67,0.86,0.15,5.7,9.33,92.47,0.3,0.3405,5.6
0.25,418.69,1.84,0.75,6.08,9.8,88.72,0.3875,0.3412,1
0.18,198.63,1.39,0.54,2.39,7.69,93.84,0.475,0.3419,0.8
0.11,237.83,0.86,0.03,4.18,7.45,94.42,0.5625,0.3427,0.6
0.28,193.61,2.06,1.94,5.07,9.82,94.69,0.65,0.3435,0
0.12,296.19,0.81,0,4.96,8.06,92.94,0.7375,0.3443,0
0.38,227.45,2.79,3.5,2.59,7.36,86.83,0.825,0.3452,0.2
0.19,183.81,1.21,0.28,2.43,7.11,94.08,0.9125,0.3462,0.3
0.21,186.46,1.59,0.89,4.38,8.27,94.91,1,0.3473,0
0.35,181.26,2.81,4.39,-1.01,7.02,94.92,1.15,0.3485,0
0.35,201.71,3.29,5.25,-2.98,3.28,93.05,1.3,0.3499,0
0.26,411.35,2.29,1.18,-0.92,7.97,85.27,1.45,0.3514,14.2
0.11,316.77,0.97,0.06,4.07,6.49,95.05,1.6,0.1291,0.2
0.26,486.65,2.4,2.9,3.72,8.36,88.93,1.75,0.355,1.3
0.28,559.23,2.04,1.27,5.92,8.75,85.61,1.9,0.3572,1.9
0.1,643.12,0.45,0,7.9,11.36,90.34,2.05,0.3595,3.6
0.35,548.29,2.74,3.64,3.31,11.36,79.31,2.2,0.3621,1.1
0.4,300.33,3.34,5.87,1.35,8.84,89.31,2.11666666666667,0.3648,0.1
0.17,143.07,1.52,0.68,-3.13,4.5,96.23,2.03333333333333,0.3677,0
0.31,88.98,3.18,4.83,-5.25,2.35,95.76,1.95,0.3707,0
0.39,176.18,4.04,6.29,-6.64,2.97,94.44,1.86666666666667,0.3738,0
0.1,318.51,0.89,0.01,-1.85,0.81,98.46,1.78333333333333,0.3769,0
0.11,399.99,1.06,0.08,-1.67,0.72,96.46,1.7,0.3769,3.1
0.4,248.19,3.65,5.33,-1.5,6.11,91.38,1.6125,0.3801,0.8
0.21,468.95,1.89,1.29,-1.52,5.44,90.72,1.525,0.3832,2.2
0.33,475.77,2.68,2.91,0.78,6.67,83.15,1.4375,0.3861,2.6
0.43,197.01,4.35,6.37,-6.59,2.34,82.37,1.35,0.3888,0
0.47,199.11,5.29,6.52,-8.03,-0.74,79.29,1.2625,0.3913,1.7
0.1,332.55,0.82,0.01,-2.97,0.89,93.65,1.175,0.3934,1.6
0.19,128.74,1.42,0,0.83,4.72,98.12,1.0875,0.395,0
0.18,343.22,1.53,0.31,2.05,5.64,94.65,1,0.3962,6.3
0.21,290.8,1.68,1.02,2.13,6.14,94.15,1.0625,0.2927,0.2
0.19,599.97,1.36,1.03,4.82,9.78,81.69,1.125,0.3965,0.9
0.38,485.87,2.82,2.14,0.89,7.19,82.24,1.1875,0.6866,28.7
0.39,487.84,3.39,3.64,0.06,4.26,88.26,1.25,0.7387,5.4
0.3,348.93,2.59,2.33,-0.69,4.15,87.86,1.3125,0.4091,5.5
0.4,174.97,4.03,3.88,-3.55,2.81,94.94,1.375,0.3875,0
0.12,158.47,1.22,0.33,-4.71,-0.39,95.74,1.4375,0.3831,0
0.47,172.56,4.62,5.22,-4.98,-0.52,89.02,1.5,0.3779,0
0.29,162.55,2.96,2.72,-5.6,-1.26,91.59,1.475,0.3718,0
0.6,117.94,6.22,7,-6.4,2.78,82.93,1.45,0.3649,0
0.5,157.29,4.7,6.3,-6.81,3.76,74.18,1.425,0.3573,0
0.57,199.56,5.56,7.54,-5.62,4.18,82.1,1.4,0.349,0
0.56,70.05,5.99,7.38,-8.59,3.08,85.48,1.375,0.3402,0
0.18,147.39,1.59,0.08,-4.66,1.21,89.42,1.35,0.3309,0.6
0.18,139.91,1.59,0,-0.35,1.65,96.58,1.325,0.3211,0
0.29,193.45,2.92,2.4,-5.16,-0.1,84.92,1.3,0.3111,0
0.6,229.94,6.25,7.51,-5.64,1.37,77.87,1.1625,0.1031,0
0.5,294.74,4.01,4.99,-4.82,6.4,69.98,1.025,0.0636,0
0.5,307.03,4.18,3.99,1.17,9.37,69.29,0.8875,0.1341,0.8
0.43,381.95,3.4,2.82,2.9,7.07,87.47,0.75,0.2525,8.3
0.13,367.48,1.11,0.06,2.46,7.52,93.94,0.6125,0.3646,1
0.22,153.99,1.79,0.45,2.19,4.63,87.37,0.475,0.1035,0
0.43,350.16,3.59,2.25,-0.01,5.97,83.94,0.3375,0.0624,1.1
0.7,346.99,4.98,4.4,4.98,12.46,84.55,0.2,0.0512,0.7
0.44,305.88,3.07,1.12,5.51,11.57,83.25,0.25,0.0449,0.4
0.33,286.86,2.57,0.71,2.87,7.8,90.23,0.3,0.0774,6.3
0.7,232.14,5.59,5.83,0.93,8.78,88,0.35,0.0791,0
0.44,157.18,3.76,1.69,-0.02,7.35,87.38,0.4,0.0552,0.2
0.19,336.84,1.54,0,1.68,4.33,93.17,0.45,0.1,3.5
0.2,358.78,1.75,0,-0.57,2.19,90.22,0.5,0.0878,0
0.26,358.24,2.28,0.3,-3.03,0.41,82.8,0.55,0.0524,0
0.16,345.5,1.56,0,-3.63,-0.51,83.04,0.6,0.0256,1.6
0.22,314.42,2.11,0.24,-1.59,1.37,90.78,0.5375,0.0856,7.6
0.54,421.26,4.37,3.04,-0.11,4.64,85.76,0.475,0.0929,0
0.99,455.33,8.35,8.73,-1.13,8.15,75.17,0.4125,0.0668,0
1.02,267.33,8.59,8.76,-1.48,9.81,70.15,0.35,0.0534,0
1.08,204.6,8.41,8.31,-1.2,14.83,73.82,0.2875,0.0452,0.1
0.62,272.94,4.66,2.76,3.19,10.62,90.67,0.225,0.0316,0.7
0.36,292.62,2.82,0.66,2.96,9.12,92.17,0.1625,0.0345,0.4
0.8,158.71,6.2,3.96,1.26,10.48,84.39,0.1,0.0276,0
0.26,319.17,2.03,0.26,0.88,7.73,91.72,0.1625,0.0326,1
0.22,485.12,1.58,0.02,6.75,11.08,95.13,0.225,0.0575,6.1
1.15,403.15,8.12,6.33,7.5,12.15,83.33,0.2875,0.0586,4
0.19,642.62,1.23,0,8.33,11.14,91.67,0.35,0.2262,30.3
0.37,839.95,2.43,0.94,4.04,10.84,83.82,0.4125,0.4316,7
0.86,344.07,6.98,5.69,-1.48,8.04,80.74,0.475,0.393,0.4
0.58,463.32,4.66,2.82,-0.18,8.1,77.95,0.5375,0.2771,0.9
0.41,520.3,2.83,0.07,6.48,10.6,81.61,0.6,0.2883,0.1
0.43,606.06,3.19,0.42,5.64,11.93,75.46,0.6125,0.338,7
0.6,577.44,4.8,1.75,1.84,8.99,79.78,0.625,0.2117,5.6
0.74,385.11,5.83,2.43,2.32,9.4,86.57,0.6375,0.325,3.6
0.49,619.7,3.66,0.82,3.17,8.28,75.17,0.65,0.1518,1.5
0.69,314.35,5.2,1.9,0.64,10.05,73.79,0.6625,0.337,0.5
0.75,298.52,5.08,0.91,6.04,14.27,78.31,0.675,0.5578,11.8
1.01,499.15,7.47,4.37,4.54,10.86,82.45,0.6875,0.4095,8.1
0.68,225.17,5.2,2.11,3.77,8.76,88.45,0.7,0.4792,2.1
0.67,219.02,5.13,2.1,0.83,9.75,87.59,0.7125,0.06,2.5
0.2,382.7,1.61,0.01,1.21,10.26,93.51,0.725,0.6354,15
0.72,387.21,5.18,2.73,3.87,13.13,85.69,0.7375,0.3753,0.4
1.66,142.21,12.4,8.69,-0.25,11.93,78.05,0.75,0.3715,0
1.26,178.68,9.24,5.88,1.45,12.92,69.89,0.7625,0.373,0
1.9,293.49,13.44,9.25,2.97,14.89,60.36,0.775,0.3739,0
1.39,201.1,10.28,5.69,0.54,14.87,73.34,0.7875,0.374,0
1.72,332.99,12.19,6.83,3.08,15.99,82.06,0.8,0.3735,0
1.83,173.93,13.04,7.18,1.72,14.78,77.28,0.9125,0.3725,0
2.08,208.27,14.65,10.63,-0.04,17.14,74.73,1.025,0.371,0
1.23,476,8.6,4.26,6.05,10.78,67.82,1.1375,0.3691,8.6
0.5,466.37,3.3,0.11,6.54,12.61,93.01,1.25,0.4165,9.1
0.53,592.45,3.42,0.22,9.4,12.89,86.11,1.3625,0.3641,1.4
0.5,605.5,3.37,0.06,9.1,11.92,87.32,1.475,0.1335,3.8
1.59,403.64,11.78,6.92,1.62,10.93,72.69,1.5875,0.4051,0.3
1.97,276.79,14.95,9.11,-0.8,12.42,67.7,1.7,0.3544,0
2.24,376.04,15.91,9.65,1.41,14.25,72.31,1.65,0.3507,0
2.23,431.67,15.62,9.68,4.02,13.99,68.66,1.6,0.3467,0
2.41,419.94,17.14,10.96,1.91,15.24,58.08,1.55,0.3425,0
2.17,315.12,15.33,7.84,2.79,14.21,75.37,1.5,0.3382,0
2.66,230.08,18.36,11.62,1.69,17.74,62.67,1.45,0.3336,0
2.63,238.56,17.23,11.25,1.32,19.75,64.59,1.4,0.329,0
1.02,390.36,6.55,1.33,8.67,15.94,77.54,1.35,0.3242,0
2.61,324.77,15.51,8.17,10.82,22.11,63.61,1.3,0.3193,0
