"VWC5","EV24","FG","Q","SQ","TN","TX","UG","LAI","rd_imputed"
0.2186,2.93,303.89,15.32,9.17,15.67,30.48,64.51,2.175,11.6
0.2745,1.86,268.08,10.73,5.1,14.06,22.04,80.83,2.1125,0
0.2476,1.3,144.89,7.37,1.09,11.43,20.1,87.13,2.05,0
0.2419,1.42,241.22,8.37,3.11,12.96,19.9,82.99,1.9875,0
0.2369,1.91,166.26,11.96,5.36,8.81,19.81,76.97,1.925,0
0.2312,1.71,99.83,10.74,4.02,6.4,19.83,79.17,1.8625,0
0.2255,2.32,152.01,14.28,9.62,8.3,20.88,71.19,1.8,0
0.2185,1.9,114.2,11.96,6.72,6.73,21.59,78.5,1.625,0
0.2135,2.05,182.82,12.72,8.15,7.13,21.66,80.72,1.45,0
0.2084,2.41,219.02,14.25,10.1,7.06,24.02,70.89,1.275,0
0.2046,2.33,297.36,13.57,9.21,10.41,26.18,70.49,1.1,0
0.2013,1.8,111.89,11.26,6.19,7.33,20.15,81.64,0.925,0
0.1991,2.29,165.82,14.29,9.68,4.95,21.67,73.37,0.75,0
0.1973,1.97,424.1,11.12,6.28,14.32,23.23,63.42,0.575,0
0.1954,0.96,500.64,5.61,2.13,13.82,19.39,80.07,0.4,1.7
0.1983,1.66,287.23,10.18,5.09,11.12,18.84,78.15,0.55,0.6
0.1985,1.24,215.12,7.76,2.99,10.02,17.91,84.88,0.7,2.7
0.2116,0.88,380.13,5.75,2.15,8.71,15.86,87.67,0.85,1.7
0.2194,1.57,232.53,9.74,5.97,11.14,18.5,80.48,1,0
0.2163,1.35,353.19,8.67,5.36,8.8,17.53,78.39,1.15,0
0.21,1.98,407.51,13.45,10.04,4.78,14.46,70.78,1.3,0
0.2023,0.95,340.52,6.62,1.93,3.27,13.02,78.4,1.45,0
0.1981,0.77,280.11,5.13,2.35,9.65,14.74,82.93,1.6,0
0.1957,1.28,228.81,8.75,4.38,4.56,14.68,76.63,1.7,0
0.1933,1.39,115.07,9.98,7.45,2.8,14.05,82.44,1.8,0
0.1917,1.31,139.24,9.68,6.42,2.11,13.31,79.15,1.9,0
0.1906,0.86,146.01,6.37,1.98,0,12.44,88.8,2,1.4
0.1928,0.49,358.08,3.43,0.21,6.97,9.96,83.83,2.1,0
0.1919,1.03,450.29,7.07,4.31,6.63,12.08,77.01,2.2,0
0.1903,1.12,366.77,7.8,5.48,7.37,13.51,77.48,2.3,7
0.2155,0.54,250.07,3.63,2.14,8.43,14.69,90.33,2.4,0.2
0.2172,1.65,242.74,10.45,9.13,6.64,19.52,78.77,2.2625,0.2
0.2144,0.88,179.01,5.75,3.27,6.65,16.48,89.98,2.125,0
0.2343,0.63,338.82,4.37,2.61,6.95,13.73,91.82,1.9875,16.9
0.314,0.54,338.79,3.93,2.18,4.23,11.36,90.5,1.85,5.2
0.3224,0.25,205.02,1.74,0.22,6.15,10.78,94.43,1.7125,7.6
0.299,0.63,189.96,4.7,2.05,5.74,10.4,88.64,1.575,2.5
0.2889,0.62,136.8,4.71,2.11,-0.52,9.86,90.06,1.4375,0.3
0.2789,0.6,134.13,5.35,2.46,-1.39,7.8,94.92,1.3,0
0.2841,0.26,206.04,1.89,0.04,4.94,8.73,94.15,1.275,2
0.2872,0.23,104.14,1.58,0.04,8.29,9.72,93.44,1.25,0
0.2768,0.88,134.67,6.18,4.43,6.86,12.59,88.69,1.225,0
0.2709,0.38,318.99,2.57,0.31,7.88,13.19,92.76,1.2,0
0.2688,0.2,309.87,1.45,0,9.97,13.73,92.24,1.175,0.8
0.2672,1,96.9,6.99,7.12,4.72,14.92,89.48,1.15,0
0.2624,0.91,65.55,6.52,6.49,4.34,15.12,90.27,1.125,0
0.2593,1.05,101.29,7.4,8.04,3.84,15.79,89.74,1.1,0
0.2584,0.58,147.38,4,2.88,3.05,14.07,94.52,1.0125,2.6
0.2672,0.77,236.05,5.96,5.42,2.55,11.21,90.92,0.925,1.9
0.2697,0.53,219.29,4.29,3.26,1.33,9.94,94.43,0.8375,0.4
0.2662,0.66,314.19,4.8,4.76,5.59,10.86,83.17,0.75,1.5
0.2731,0.48,293.08,3.55,2.34,4.47,10.47,90.49,0.6625,0.6
0.2707,0.42,385.93,3.28,1.94,3.72,8.41,89.84,0.575,1.3
0.2973,0.17,203.25,1.21,0,2.56,6.12,94.41,0.4875,1.9
0.2945,0.48,175.13,4.02,2.84,-0.61,4.81,89.99,0.4,0.8
0.3088,0.21,226.83,1.43,0.12,-0.13,4.58,93.95,0.425,10.6
0.3252,0.13,161.1,1.15,0.33,2.6,6.45,96.66,0.45,11.2
0.3114,0.39,270.87,3.39,3.38,-2.86,5.21,88.69,0.475,0
0.2927,0.42,242.32,3.76,3.16,-3.04,5.07,85.04,0.5,0.4
0.2959,0.21,187.68,1.74,0.1,0.21,4.73,88.41,0.525,1.4
0.3007,0.31,283.44,2.66,1.02,-1.93,5.68,92.07,0.55,6.5
0.3174,0.1,347.55,0.78,0,5.53,11.83,98.31,0.575,10.5
0.3283,0.29,412.22,1.9,1.33,9.31,13.87,93.25,0.6,9.9
